"Code","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"BLF",5.78,28.08,5.94,27.05,"-1e+10","36.447","-1e+10","36.389"
"BSB",3.15,28.8,3.25,27.53,"-1e+10","36.43","-1e+10","36.404"
"BUT",2.53,29.23,3.8,27.5,"-1e+10","36.578","-1e+10","36.509"
"COD",0.88,23.08,1.35,17.89,"-1e+10","34.085","-1e+10","35.5"
"DOG",1.21,27.66,2.09,22.91,"-1e+10","36.578","-1e+10","36.255"
"DRM",4.54,29.04,4.15,28.33,"-1e+10","36.578","-1e+10","36.455"
"FDE",0.88,25.9,1.27,26.6,"-1e+10","36.031","-1e+10","36.168"
"HAD",1.17,27.59,2.69,18.58,"-1e+10","36.089","-1e+10","35.785"
"HAL",1.17,16.27,2.55,13.61,"-1e+10","33.64","31.663","35.001"
"HER",0.88,25.16,1.23,21.233,"-1e+10","35.393","-1e+10","35.645"
"LSK",0.88,28.36,0.32,23.45,"-1e+10","36.114","-1e+10","35.894"
"MAK",1.21,23.42,2.48,22.53,"-1e+10","36.031","-1e+10","35.838"
"OHK",3.87,29.21,4.63,15.59,"-1e+10","36.579","-1e+10","35.956"
"OPT",1.3,27.59,1.27,19.85,"-1e+10","35.321","-1e+10","35.688"
"PLA",1.21,22.04,1.35,17.174,"-1e+10","34.176","30.544","35.56"
"POL",1.21,22.84,2.18,17.14,"-1e+10","35.26","-1e+10","35.512"
"QHG",6.07,18.7199,3.57,13.05,"30.521","33.751","30.559","34.185"
"RED",1.68,22.29,2.34,14.72,"-1e+10","34.783","31.43","35.58"
"RHK",1.21,27.59,1.71,22.0707,"-1e+10","36.466","-1e+10","36.312"
"SAL",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SCU",4.25,29.23,4.12,28.33,"-1e+10","36.478","-1e+10","36.5"
"SDF",6.05,22.92,5.33,14.08,"20.77","34.645","24.49","35.505"
"SHK",1.21,29.21,1.74,24.46,"-1e+10","36.578","-1e+10","36.2"
"SK",1.17,29.76,2.18,27.5,"-1e+10","36.579","-1e+10","36.5"
"SUF",1.55,29.4,1.74,28.22,"-1e+10","36.558","-1e+10","36.554"
"TAU",2.89,24.94985,2.84,23.03,"-1e+10","33.582","-1e+10","33.818"
"TYL",6.42,28.51,7.95,17.95,"-1e+10","36.407","33.118","36.359"
"WHK",1.64,26.68,2.92,18.01,"-1e+10","36.409","29.206","35.845"
"WIF",0.88,24.47,0.32,23.12,"-1e+10","35.209","-1e+10","35.187"
"WPF",0.88,28.58,0.32,26.7,"-1e+10","36.089","-1e+10","35.587"
"WSK",0.88,23.77,0.32,21.88,"-1e+10","36.089","-1e+10","35.764"
"WTF",1.55,27.17,2.09,18.33,"-1e+10","36.409","-1e+10","35.894"
"YTF",1.17,25.21,0.32,20.02,"-1e+10","35.772","-1e+10","35.645"
