"Code","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"ANC",2,29.4,0,29.9,"22.1","36.487","20.286","36.493"
"BG",6.2,24.7,9.2,28.1,"NA","NA","NA","NA"
"BLF",6.3,29.4,0,29.9,"22.1","36.389","20.356","36.574"
"BPF",1.1,28.2,0,29.76,"24.138","36.554","20.286","36.574"
"BSB",2.99,29.85,0,29.9,"27.345","36.404","23.547","36.414"
"BUT",0,29.85,0,29.76,"22.1","36.846","20.356","36.613"
"CLA",3.9,24.24,3.3,26.77,"30.189","34.754","29.387","34.624"
"COD",-1,19.2,-0.6,26.7,"26.547","35.535","24.249","34.957"
"DOG",1.1,22.91,0,28.58,"23.52","36.255","20.286","36.478"
"DRM",2.8,29.4,0,29.9,"22.1","36.62","20.356","36.613"
"FDE",0,26.78,0,27.25,"23.267","36.168","15.925","36.111"
"FLA",1.1,28.51,0,29.76,"24.655","36.846","23.231","36.613"
"FOU",0.9,26.75,0,29.76,"26.547","36.44","23.547","36.613"
"GOO",0,23.63,0,29.21,"29.705","36.342","24.249","36.478"
"HAD",0,18.96,0,27.03,"30.613","35.742","24.249","35.891"
"HAL",1.8,13.9,0,20.82,"31.056","34.96","27.148","33.873"
"HER",1.23,26.6,0,27,"23.267","36.418","15.925","36.38"
"ISQ",0,29.85,0,29.76,"27.643","36.512","23.547","36.624"
"LOB",0,24.3,0,27.4,"26.547","36.107","15.925","36.466"
"LSK",-1.4,23.45,-1.4,28.36,"23.52","35.995","15.925","36.363"
"LSQ",2.41,29.85,0,29.76,"22.1","36.875","20.615","36.624"
"MAK",0,22.53,0,27.4,"26.032","35.932","24.729","36.111"
"MEN",3.5,26.2,0,26.42,"23.52","35.344","21.177","35.325"
"MPF",2.6,27.55,0,29.76,"31.697","36.489","25.318","36.624"
"NSH",1.35,18.6,0,26.3,"30.895","35.853","24.249","36.17"
"OHK",0,17.64,0,29.76,"32.234","36.344","29.884","36.624"
"OPT",0.1,19.12,0,27.03,"26.547","35.772","15.925","36.187"
"PLA",1,16.9,0,25.2,"26.547","35.588","24.249","35.691"
"POL",1.3,18.56,0,24.3,"30.577","35.63","27.021","35.445"
"POR",11.34,11.34,12.59,12.59,"34.476","34.476","32.746","32.746"
"QHG",4.91,17.51,5.51,19.22,"32.453","34.52","31.746","33.927"
"RCB",3,14.8,0,26.67,"32.286","35.672","30.185","35.789"
"RED",1,18.53,0,26.1,"31.251","35.754","25.318","35.968"
"RHK",0,22.49,0,27.4,"25.809","36.361","15.925","36.407"
"SAL",8.7,8.7,8.4,8.4,"NA","NA","NA","NA"
"SCA",1.44,22.59,0,28.58,"29.986","36.312","24.754","36.355"
"SCU",3.35,28.51,0,29.31,"22.1","36.741","22.1","36.578"
"SDF",5.33,20.1,5.35,23.34,"26.995","35.726","25.031","34.708"
"SHK",0,24.46,0,29.76,"23.52","36.383","15.925","36.606"
"SMO",5.32,27.7,0,29.02,"26.938","36.489","20.356","36.592"
"SSH",8.1,25.67,0,28,"22.1","36.418","22.1","36.578"
"STB",1.96,20.97,0,22.54,"23.267","35.244","18.355","34.42"
"SUF",1.74,29.4,0,29.9,"22.1","36.741","20.356","36.556"
"TAU",1.7,27.7,0,28.4,"27.732","34.355","24.94","34.225"
"TYL",3.25,19.66,2,28.8,"31.032","36.359","31.017","36.43"
"WHK",1.6,25.3,0,29.13,"29.029","35.835","24.249","36.389"
"WIF",-1.4,23.12,-1.4,27,"26.547","35.459","15.925","35.679"
"WPF",-1.2,27.7,-0.9,28.7,"23.267","36.341","15.925","36.354"
"WSK",-1.4,21.88,-1.4,25.2,"24.138","36.431","15.925","36.43"
"WTF",0,18.53,0,26.73,"30.691","35.894","24.249","36.478"
"YTF",-1,19.39,-0.6,27,"26.547","35.786","15.925","35.764"
