"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"BLF","Fall",9.88,28.08,6.34,27.08,"-1e+10","36.261","-1e+10","36.422"
"BLF","Spring",5.66,21.7,4.44,22.55,"26.5","36.38","-1e+10","36.428"
"BLF","Summer",11.49,25.6666,5.916,26.4927,"25.38","32.332","0.0697","33.708"
"BLF","Winter",6.41,19.75,8.82,17.64,"-1e+10","36.362","32.803","36.312"
"BSB","Fall",9.68,28.91,6.28,27.36,"-1e+10","36.129","-1e+10","36.401"
"BSB","Spring",3.44,23.01,3.25,21.05,"-1e+10","36.43","-1e+10","36.404"
"BSB","Summer",8.511,27.37,3.64,26.63,"0.0669","34.55","26.8188","36.21"
"BSB","Winter",3.46,19.75,2.99,19.64,"-1e+10","36.401","-1e+10","36.361"
"BUT","Fall",7.93,29.4,3.99,28.51,"-1e+10","36.352","-1e+10","36.539"
"BUT","Spring",1.087,24.41,2.653,22.67,"-1e+10","36.574","-1e+10","36.846"
"BUT","Summer",7.11,27.54,-1e+10,26.63,"0.0669","34.55","0.0697","36.21"
"BUT","Winter",3.45,19.43,3.37,19.64,"-1e+10","36.466","-1e+10","36.361"
"COD","Fall",5.67,23.08,3.83,21.95,"-1e+10","35.168","-1e+10","35.366"
"COD","Spring",1.087,16.06,1.35,17.723,"-1e+10","35.921","-1e+10","36.517"
"COD","Summer",7.11,21.244,3.63,18.3924,"9.8712","32.65","26.733","35.085"
"COD","Winter",1.21,9.59,1.36,12.56,"-1e+10","33.398","30.729","35.402"
"DOG","Fall",5.67,27.76,3.83,23.11,"-1e+10","35.874","-1e+10","35.892"
"DOG","Spring",1.087,20.12,2.39,22.07,"-1e+10","36.43","-1e+10","36.517"
"DOG","Summer",8.842,23.72,3.61,21.233,"29.335","33.34","29.095","34.818"
"DOG","Winter",2.22,19.4,2.09,16.62,"-1e+10","36.466","-1e+10","36.255"
"DRM","Fall",10.13,29.57,7.35,28.51,"-1e+10","36.261","-1e+10","36.454"
"DRM","Spring",2.9,22.77,2.681,22.55,"22.29","36.606","24.655","36.62"
"DRM","Summer",11.49,25.6666,-1e+10,26.4927,"0.0669","32.5","0.0657","37.3033"
"DRM","Winter",5.06,11.4,4.53,19.64,"30.71","35.231","30.18","36.361"
"FDE","Fall",8.212,26.15,3.83,27.3,"-1e+10","35.361","23.114","36.168"
"FDE","Spring",1.087,16.7,1.27,18.47,"-1e+10","36.031","-1e+10","36.063"
"FDE","Summer",7.11,25.59,3.63,26.63,"8.5465","32.532","12.449","37.3033"
"FDE","Winter",1.21,12.6,1.36,14.44,"-1e+10","35.274","-1e+10","35.781"
"HAD","Fall",8.015,27.59,4.47,20.08,"-1e+10","35.874","-1e+10","35.742"
"HAD","Spring",1.087,20.0199,2.32,17.723,"-1e+10","36.3064","-1e+10","35.648"
"HAD","Summer",7.11,21.244,4.22,14.08,"28.796","32.65","26.8188","35.085"
"HAD","Winter",1.55,11.815,3.03,12.66,"-1e+10","34.788","31.48","35.402"
"HAL","Fall",8.389,18.71,5.19,16.57,"-1e+10","33.619","31.654","35.075"
"HAL","Spring",1.17,14.11,2.74,9.7546,"-1e+10","32.992","26.547","34.947"
"HAL","Summer",7.11,13.05,3.973,7.964,"30.958","32.494","31.663","35.031"
"HAL","Winter",5.98,8.56,5.57,8.64,"32.044","32.282","32.183","33.603"
"HER","Fall",5.67,25.16,3.83,21.6275,"-1e+10","34.279","-1e+10","35.5099"
"HER","Spring",1.58,16.06,1.23,20.63,"-1e+10","35.921","-1e+10","36.418"
"HER","Summer",7.11,23.545,3.35,22.12113,"9.8712","32.537","23.9704","35.062"
"HER","Winter",1.3,11.815,1.36,13.73,"-1e+10","34.816","-1e+10","35.387"
"LSK","Fall",8.84,28.36,4.67,23.86,"-1e+10","35.885","-1e+10","35.932"
"LSK","Spring",1.087,19.11,1.71,17.723,"-1e+10","36.406","-1e+10","35.772"
"LSK","Summer",7.11,25.8,-1e+10,24.26,"26.2394","32.94","26.8188","35.576"
"LSK","Winter",1.21,14.92,1.36,15.72,"-1e+10","35.816","-1e+10","35.845"
"MAK","Fall",8.361,25.73,4.95,22.53,"-1e+10","35.361","28.4369","35.932"
"MAK","Spring",1.21,20.12,2.93,14.66,"-1e+10","36.43","28.215","35.728"
"MAK","Summer",11.08,23.61,4.22,22.47,"29.137","32.65","24.8037","33.819"
"MAK","Winter",3.06,12.8,3.1,15.77,"-1e+10","35.231","-1e+10","35.753"
"OHK","Fall",11.32,29.44,4.314,24.54,"-1e+10","36.133","32.234","36.426"
"OHK","Spring",3.69,22.7,4.2548,20.14,"-1e+10","36.579","32.338","36.463"
"OHK","Summer",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"OHK","Winter",3.48,18.84,6.34,14.3,"-1e+10","36.409","32.741","35.781"
"OPT","Fall",8.32,27.59,3.83,19.85,"-1e+10","35.391","31.119","35.688"
"OPT","Spring",1.58,16.69,1.27,13.98,"-1e+10","35.968","26.123","35.772"
"OPT","Summer",7.11,23.95,3.61,18.75,"29.597","32.94","31.125","34.741"
"OPT","Winter",1.3,9.24,1.4,14.01,"-1e+10","34.199","-1e+10","35.753"
"PLA","Fall",5.67,19.94,3.83,17.174,"-1e+10","34.797","31.041","35.588"
"PLA","Spring",1.17,14.11,1.35,17.723,"-1e+10","33.864","-1e+10","35.573"
"PLA","Summer",7.11,20.97,3.35,13.578,"30.545","32.537","31.119","35.031"
"PLA","Winter",2.22,9.76,3.32,13.03,"-1e+10","33.673","32.033","35.637"
"POL","Fall",6.26,22.03,4.59,18.56,"-1e+10","35.168","-1e+10","35.345"
"POL","Spring",1.087,12.25,2.18,17.723,"-1e+10","33.924","-1e+10","36.517"
"POL","Summer",7.11,20.97,3.35,21.233,"30.455","32.367","26.733","34.717"
"POL","Winter",3.59,10.96,2.78,12.14,"32.101","35.26","32.272","35.512"
"QHG","Fall",11.64,20.14,7.48,20.51,"30.695","32.382","30.904","33.592"
"QHG","Spring",5.28,9.75,2.93,10.101,"29.161","33.481","30.747","34.185"
"QHG","Summer",8.67,10.38,5.05,7.63,"31.207","32.494","31.62","32.286"
"QHG","Winter",3.94,3.94,5.72,10.53,"32.421","32.421","31.772","34.461"
"RED","Fall",5.67,20.68,3.83,18.53,"-1e+10","34.99","31.487","35.754"
"RED","Spring",1.68,14.11,2.32,13.98,"-1e+10","33.923","31.252","35.583"
"RED","Summer",7.11,20.24,3.35,10.83,"30.57","32.537","31.513","35.085"
"RED","Winter",4.37,10.24,7.04,14,"32.282","33.906","32.183","35.638"
"RHK","Fall",5.67,27.59,3.83,22.5603,"-1e+10","35.961","-1e+10","36.107"
"RHK","Spring",1.17,20.12,1.71,18.79,"-1e+10","36.43","9.631","36.148"
"RHK","Summer",7.11,24.41,-1e+10,24.2445,"23.3206","33.34","26.8188","35.29"
"RHK","Winter",1.21,19.75,1.36,19.64,"-1e+10","36.466","-1e+10","36.361"
"SAL","Spring",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SAL","Winter",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SCU","Fall",9.53,29.57,6.2,28.51,"-1e+10","36.261","-1e+10","36.459"
"SCU","Spring",3.18,22.45,3.35,22.67,"-1e+10","36.606","26.123","36.741"
"SCU","Summer",8.511,25.9152,-1e+10,26.63,"0.0669","32.5","0.0697","36.18"
"SCU","Winter",3.45,19.75,4.3,19.64,"-1e+10","36.466","-1e+10","36.361"
"SDF","Fall",17.45,25.97,12.26,25.59,"-1e+10","31.319","25.2287","35.505"
