ActiveScreener Id,Time of Screening,Title,Authors,Question,Question.N,List of Reviewers,Answers
13976904,05/17/2024 21:50:58,"Witch Flounder Distribution off Southern Newfoundland, and Changes in Age, Growth, and Sexual Maturity Patterns with Commercial Exploitation","Bowering, W. R. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976903,05/17/2024 20:31:40,"Winter temperature and spring photoperiod requirements for spawning in the American lobster, Homarus americanus , H. Milne Edwards, 1837","Aiken, D. E., Waddy, S. L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976902,05/17/2024 22:01:39,"Winter Movement of Radio?Tagged Juvenile Atlantic Salmon in Northeast Brook, Newfoundland","Hiscock, Martha J., Scruton, D. A., Brown, Joseph A.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976901,05/29/2024 12:15:43,Windowpane flounder (Scophthalmus aquosus) and winter flounder (Pseudopleuronectes americanus) responses to cold temperature extremes in a Northwest Atlantic estuary,"Wilber, Dara H., Clarke, Douglas G., Alcoba, Catherine M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976900,05/20/2024 17:13:22,"Why can some fish live in fresh water, some in salt water, and some in both?","Wurts, W. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"", ""Salinity"""
13976899,05/29/2024 12:23:32,Water temperature modeling in the Garonne River (France),"Larnier, Kévin, Roux, Hélène, Dartus, Denis  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976898,05/29/2024 12:15:32,Was the Mediterranean Sea during the Calabrian (Early Pleistocene) a low seasonality environment,"von Leesen, Gotje, Beierlein, Lars, Scarponi, Daniele  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976897,05/17/2024 22:11:20,Warming Waters Session. Warming waters presentation summary,"Benfey, T. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976896,05/20/2024 17:03:42,Warming Accelerates the Onset of the Molecular Stress Response and Increases Mortality of Larval Atlantic Cod,"Oomen, R. A., Knutsen, H., Olsen, E. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976895,05/21/2024 11:19:58,Warm and cold temperatures limit the maximum body length of teleost fishes across a latitudinal gradient in Norwegian waters,"Lavin, Charles P., Gordó-Vilaseca, Cesc, Costello, Mark John  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976894,05/29/2024 13:59:24,Warm acclimation and oxygen depletion induce species-specific responses in salmonids,"Anttila, K., Lewis, M., Prokkola, J. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976893,05/20/2024 15:02:49,The vulnerability of different populations of the commercially-important shrimp Pandalus borealis to environmental stress,"Hall, Emilie Florence ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976892,05/21/2024 11:26:12,Viable embryogenesis of the winter flounder Pseudopleuronectes americanus from - 1.8° to 15°C,"Williams, G. C. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976891,05/30/2024 11:52:01,Viability of Cryptocotyle lingua metacercariae from Atlantic cod (Gadus morhua) after exposure to freezing and heating in the temperature range from ?80 °C to 100 °C,"Borges, Juliana Novo, Skov, Jakob, Bahlool, Qusay Z. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976890,05/29/2024 12:07:29,Vertical movements of Atlantic salmon post?smolts relative to measures of salinity and water temperature during the first phase of the marine migration,"Manel?La, N. Plantalech, Thorstad, E. B., Davidsen, J. G.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"", ""Salinity"""
13976889,05/17/2024 21:49:20,Variations in growth in haemoglobin genotypes of Atlantic cod,"Imsland, A. K., Foss, A., Nævdal, G.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976888,05/17/2024 18:38:15,Variation that can be expected when using particle tracking models in connectivity studies,"Hufnagl, Marc, Payne, Mark R., Lacroix, Geneviève  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976887,05/28/2024 17:34:08,Variation in the temperature preference and growth rate of individual fish reconciles differences between two growth models,"Elliott, J. M., Hurley, M. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976886,05/23/2024 11:49:22,"Variation in temperature tolerance among families of Atlantic salmon (Salmo salar) is associated with hypoxia tolerance, ventricle size and myoglobin level","Anttila, Katja, Dhillon, Rashpal S., Boulding, Elizabeth G.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976885,05/29/2024 12:56:23,Variation in spawning time promotes genetic variability in population responses to environmental change in a marine fish,"Oomen, R. A., Hutchings, J. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976884,05/29/2024 17:46:04,"Variation in salinity tolerance, gill Na super(+)/K super(+)-ATPase, Na super(+)/K super(+)/2Cl super(-) cotransporter and mitochondria-rich cell distribution in three salmonids Salvelinus namaycush, Salvelinus fontinalis and Salmo salar","Hiroi, Junya, McCormick, Stephen D. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976883,05/28/2024 17:31:10,Variation in growth and survival between two anadromous strains of Canadian Arctic charr (Salvelinus alpinus) during long-term saltwater rearing,"Delabbio, J. L., Glebe, B. D., Sreedharan, A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976882,05/29/2024 15:44:51,Variation in Branchial Expression Among insulin?like growth?factor binding proteins (igfbps) During Atlantic Salmon Smoltification,"Fujimoto, Chelsea, Phipps?Costin, Silas, McCormick, Stephen  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976881,05/29/2024 17:12:29,Variability and Comparison of Hyporheic Water Temperatures and Seepage Fluxes in a Small Atlantic Salmon Stream1,"Alexander, Matthew D., Caissie, Daniel ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
