"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"BLF","Fall",10.29,28.08,7.82,27.05,"-1e+10","36.338","-1e+10","36.385"
"BLF","Spring",5.78,19.68,5.94,20.31,"-1e+10","36.447","29.101","36.389"
"BLF","Summer",16.79,23.61,13.47,22.4753,"26.213","32.13","27.143","33.708"
"BLF","Winter",6.72,19.75,8.36,17.64,"-1e+10","36.362","32.803","36.312"
"BSB","Fall",9.68,28.8,7,27.53,"-1e+10","36.316","-1e+10","36.401"
"BSB","Spring",3.44,22.45,3.25,21,"-1e+10","36.43","26.2028","36.404"
"BSB","Summer",14.52,24.94985,7.16,22.12113,"26.213","32.13","27.4235","33.1385"
"BSB","Winter",3.15,19.75,4.31,18.26,"-1e+10","36.407","-1e+10","36.365"
"BUT","Fall",7.93,29.23,4.72,27.5,"-1e+10","36.359","-1e+10","36.509"
"BUT","Spring",2.53,24.12,3.8,21.12,"-1e+10","36.578","-1e+10","36.489"
"BUT","Summer",10.47,25.05,4.83,22.12113,"8.5465","32.267","21.6008","33.708"
"BUT","Winter",3.15,20.27,4.68,15.9,"-1e+10","36.466","-1e+10","36.043"
"COD","Fall",8.88,23.08,4.41,17.89,"-1e+10","33.685","-1e+10","35.286"
"COD","Spring",1.17,13.17,1.35,12.51,"-1e+10","34.085","29.6119","35.5"
"COD","Summer",5.85,20.97,3.35,11.952,"30.603","32.366","31.641","34.818"
"COD","Winter",0.88,9.12,1.44,12.56,"31.24","33.128","30.729","35.402"
"DOG","Fall",8.7,27.66,4.41,22.91,"-1e+10","35.819","-1e+10","35.82"
"DOG","Spring",1.21,22.01,2.39,17.34,"-1e+10","36.578","-1e+10","36.114"
"DOG","Summer",5.85,22.04,3.61,13.47,"30.545","32.367","31.119","34.818"
"DOG","Winter",2.292,19.47,2.09,16.62,"-1e+10","36.478","-1e+10","36.255"
"DRM","Fall",13.26,29.04,9.96,28.33,"-1e+10","36.338","-1e+10","36.455"
"DRM","Spring",4.54,23.69,4.64,19.47,"-1e+10","36.578","-1e+10","36.428"
"DRM","Summer",16.67,23.763,8.883,23.15,"8.5465","34.279","21.6008","34.678"
"DRM","Winter",4.63,12.15,4.15,15.9,"-1e+10","35.231","31.165","36.043"
"FDE","Fall",8.88,25.9,4.41,26.6,"-1e+10","35.806","27.4185","36.168"
"FDE","Spring",1.68,16.7,1.27,15.01,"-1e+10","36.031","-1e+10","35.7"
